

[info]
SOLAR F.V. EUITI

Fecha;Hora;G_H1((47596));G_M1((47596));G_M2((47596));G_M3((47596));T_U0((47596));T_M3((47596));T_M1((47596));T_M2((47596));W_V0((47596));F_L0((47596));Pac(1(47596));Pac(2(47596));Pac(5(47596));Pac(6(47596));Pac(7(47596));Pac(10(47596));Pac(3(47596));Pac(4(47596));Pac(8(47596));Pac(9(47596));Pac(11(47596));Pac(12(47596))
;;Wh/m�;Wh/m�;Wh/m�;Wh/m�;캜;캜;캜;캜;m/s;%;W;W;W;W;W;W;W;W;W;W;W;W
;;Suma;Suma;Suma;Suma;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma
[start]
01.04.2013;00:00:00;3,25;1,50;0,75;0,50;15,00;10,90;11,20;11,00;0,10;91,90;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;00:15:00;3,25;1,50;0,75;0,50;15,10;10,80;11,10;11,00;0,10;90,90;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;00:30:00;3,25;1,25;1,00;0,50;15,10;10,40;10,70;10,70;0,10;90,40;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;00:45:00;3,25;1,50;0,75;0,50;15,00;10,50;10,80;10,80;0,10;90,30;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;01:00:00;3,25;1,50;0,75;0,50;15,00;10,50;10,90;10,80;0,10;90,10;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;01:15:00;3,25;1,75;0,75;0,50;15,00;10,50;10,90;10,80;0,10;89,70;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;01:30:00;3,25;1,50;1,00;0,50;14,80;10,40;10,70;10,80;0,10;89,60;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;01:45:00;3,25;1,50;0,75;0,50;14,50;10,40;10,70;10,70;0,10;89,60;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;02:00:00;3,25;1,50;1,00;0,50;14,30;10,20;10,50;10,50;0,10;89,90;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;02:15:00;3,25;1,25;0,75;0,50;14,40;10,20;10,50;10,50;0,10;89,60;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;02:30:00;3,25;1,50;1,00;0,50;14,30;10,20;10,50;10,50;0,10;89,90;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;02:45:00;3,25;1,50;1,00;0,50;14,20;10,00;10,30;10,30;0,10;90,10;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;03:00:00;3,25;1,25;0,75;0,50;14,30;9,80;10,10;9,90;0,10;90,80;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;03:15:00;3,25;1,25;0,75;0,50;14,30;9,50;9,80;9,80;0,10;90,30;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;03:30:00;3,25;1,25;0,75;0,50;14,20;9,20;9,60;9,50;0,10;89,60;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;03:45:00;3,25;1,25;0,75;0,50;14,20;9,20;9,60;9,50;0,10;87,90;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;04:00:00;3,25;1,25;0,75;0,50;14,20;9,10;9,50;9,50;0,10;87,00;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;04:15:00;3,25;1,25;0,75;0,50;14,20;8,60;9,00;8,90;0,10;86,00;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;04:30:00;3,25;1,25;0,75;0,50;14,10;7,20;7,60;7,50;0,10;85,60;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;04:45:00;3,25;1,25;1,00;0,50;14,10;6,80;7,20;7,40;0,10;85,40;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;05:00:00;3,25;1,25;0,75;0,50;13,80;6,90;7,30;7,20;0,10;85,50;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;05:15:00;3,25;1,25;0,75;0,50;13,60;7,30;7,60;7,40;0,10;86,10;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;05:30:00;3,25;1,00;0,75;0,50;13,40;6,90;7,30;7,20;0,10;85,90;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;05:45:00;3,25;1,25;0,50;0,50;13,30;6,50;6,90;6,80;0,10;84,70;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;06:00:00;3,25;1,00;0,50;0,50;13,40;6,10;6,50;6,40;0,10;83,20;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;06:15:00;3,25;1,25;0,75;0,50;13,30;6,00;6,40;6,50;0,10;82,70;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;06:30:00;3,25;1,25;0,50;0,50;13,20;5,60;6,10;6,20;0,10;81,60;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;06:45:00;3,25;1,00;0,75;0,50;13,00;5,50;6,00;5,90;0,10;80,40;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;07:00:00;3,25;1,25;0,50;0,50;12,80;5,90;6,30;6,20;0,10;80,50;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;07:15:00;3,25;1,25;0,75;0,50;12,70;5,70;6,00;6,00;0,10;82,40;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;07:30:00;3,25;1,00;0,50;0,50;12,70;5,80;6,10;6,00;0,10;82,30;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;07:45:00;3,25;1,00;0,50;0,50;12,50;5,80;6,10;6,00;0,10;82,80;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;08:00:00;3,25;1,25;0,75;0,50;12,20;5,70;6,00;6,00;0,10;82,80;-;-;-;-;-;-;-;-;-;-;-;-
01.04.2013;08:15:00;3,75;3,75;2,00;1,75;12,40;5,50;6,00;6,00;0,10;79,40;3,00;0,00;3,00;3,00;2,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
01.04.2013;08:30:00;11,50;15,50;7,25;8,25;12,40;5,80;6,50;6,40;0,10;76,20;7,00;0,00;7,00;6,00;5,00;0,00;0,00;8,00;0,00;0,00;0,00;36,00
01.04.2013;08:45:00;25,50;35,00;21,25;24,00;13,00;7,70;8,60;8,30;0,10;69,00;27,00;0,00;27,00;28,00;31,00;0,00;14,00;59,00;0,00;0,00;48,00;242,00
01.04.2013;09:00:00;19,50;27,75;17,50;18,75;13,40;9,50;10,60;10,80;0,10;67,20;28,00;0,00;34,00;30,00;45,00;0,00;45,00;56,00;0,00;0,00;114,00;258,00
01.04.2013;09:15:00;36,00;50,25;32,50;36,25;12,90;10,00;10,40;11,00;0,10;70,60;90,00;0,00;105,00;95,00;95,00;0,00;185,00;108,00;0,00;0,00;212,00;468,00
01.04.2013;09:30:00;51,75;72,50;48,50;54,00;13,30;14,30;14,10;15,60;0,10;69,60;153,00;92,00;177,00;158,00;157,00;63,00;314,00;180,00;81,00;46,00;318,00;717,00
01.04.2013;09:45:00;75,75;107,50;72,75;81,25;13,90;18,00;17,90;19,00;0,10;65,00;243,00;434,00;279,00;259,00;274,00;368,00;516,00;293,00;482,00;272,00;498,00;1143,00
