

[info]
SOLAR F.V. EUITI

Fecha;Hora;G_H1((47596));G_M1((47596));G_M2((47596));G_M3((47596));T_U0((47596));T_M3((47596));T_M1((47596));T_M2((47596));W_V0((47596));F_L0((47596));Pac(1(47596));Pac(2(47596));Pac(5(47596));Pac(6(47596));Pac(7(47596));Pac(10(47596));Pac(3(47596));Pac(4(47596));Pac(8(47596));Pac(9(47596));Pac(11(47596));Pac(12(47596))
;;Wh/m�;Wh/m�;Wh/m�;Wh/m�;캜;캜;캜;캜;m/s;%;W;W;W;W;W;W;W;W;W;W;W;W
;;Suma;Suma;Suma;Suma;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma
[start]
24.01.2013;00:15:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;00:30:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;00:45:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;01:00:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;01:15:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;01:30:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;01:45:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;02:00:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;02:15:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;02:30:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;02:45:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;03:00:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;03:15:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;03:30:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;03:45:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;04:00:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;04:15:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;04:30:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;04:45:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;05:00:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;05:15:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;05:30:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;05:45:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;06:00:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;06:15:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;06:30:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;06:45:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;07:00:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;07:15:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;07:30:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;07:45:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;08:00:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;08:15:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;08:30:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24.01.2013;08:45:00;-;-;-;-;-;-;-;-;-;-;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;2,00;2,00;3,00
24.01.2013;09:00:00;-;-;-;-;-;-;-;-;-;-;12,00;6,00;0,00;14,00;4,00;5,00;0,00;0,00;4,00;4,00;3,00;6,00
24.01.2013;09:15:00;-;-;-;-;-;-;-;-;-;-;204,00;20,00;106,00;91,00;44,00;10,00;13,00;85,00;10,00;9,00;10,00;10,00
24.01.2013;09:30:00;-;-;-;-;-;-;-;-;-;-;353,00;113,00;277,00;237,00;74,00;16,00;75,00;177,00;15,00;16,00;17,00;18,00
24.01.2013;09:45:00;-;-;-;-;-;-;-;-;-;-;347,00;264,00;278,00;271,00;107,00;26,00;156,00;172,00;33,00;28,00;27,00;28,00
24.01.2013;10:00:00;-;-;-;-;-;-;-;-;-;-;508,00;432,00;474,00;430,00;183,00;24,00;316,00;255,00;220,00;103,00;52,00;41,00
24.01.2013;10:15:00;-;-;-;-;-;-;-;-;-;-;625,00;559,00;633,00;536,00;530,00;28,00;439,00;323,00;331,00;221,00;235,00;202,00
24.01.2013;10:30:00;-;-;-;-;-;-;-;-;-;-;692,00;621,00;713,00;614,00;936,00;77,00;508,00;367,00;403,00;319,00;298,00;290,00
24.01.2013;10:45:00;-;-;-;-;-;-;-;-;-;-;684,00;616,00;696,00;653,00;1187,00;223,00;514,00;365,00;421,00;370,00;312,00;313,00
24.01.2013;11:00:00;-;-;-;-;-;-;-;-;-;-;741,00;673,00;767,00;718,00;1438,00;363,00;579,00;400,00;452,00;410,00;340,00;350,00
24.01.2013;11:15:00;-;-;-;-;-;-;-;-;-;-;794,00;722,00;846,00;793,00;1937,00;430,00;642,00;438,00;527,00;485,00;435,00;447,00
24.01.2013;11:30:00;-;-;-;-;-;-;-;-;-;-;815,00;731,00;830,00;796,00;1934,00;436,00;635,00;436,00;523,00;481,00;464,00;457,00
24.01.2013;11:45:00;-;-;-;-;-;-;-;-;-;-;903,00;818,00;964,00;932,00;2228,00;561,00;734,00;498,00;606,00;562,00;594,00;565,00
24.01.2013;12:00:00;-;-;-;-;-;-;-;-;-;-;911,00;827,00;979,00;961,00;2250,00;624,00;752,00;506,00;624,00;581,00;646,00;610,00
24.01.2013;12:15:00;-;-;-;-;-;-;-;-;-;-;914,00;830,00;985,00;985,00;2242,00;655,00;763,00;508,00;635,00;592,00;667,00;638,00
24.01.2013;12:30:00;-;-;-;-;-;-;-;-;-;-;930,00;847,00;1002,00;1010,00;2275,00;679,00;781,00;517,00;652,00;608,00;684,00;653,00
24.01.2013;12:45:00;-;-;-;-;-;-;-;-;-;-;928,00;846,00;1004,00;1010,00;2273,00;685,00;782,00;517,00;653,00;611,00;694,00;662,00
