

[info]
SOLAR F.V. EUITI

Fecha;Hora;G_H1((47596));G_M1((47596));G_M2((47596));G_M3((47596));T_U0((47596));T_M3((47596));T_M1((47596));T_M2((47596));W_V0((47596));F_L0((47596));Pac(1(47596));Pac(2(47596));Pac(5(47596));Pac(6(47596));Pac(7(47596));Pac(10(47596));Pac(3(47596));Pac(4(47596));Pac(8(47596));Pac(9(47596));Pac(11(47596));Pac(12(47596))
;;Wh/m�;Wh/m�;Wh/m�;Wh/m�;캜;캜;캜;캜;m/s;%;W;W;W;W;W;W;W;W;W;W;W;W
;;Suma;Suma;Suma;Suma;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma
[start]
01.07.2013;00:00:00;11,00;1,50;1,00;0,50;33,80;23,80;25,60;26,10;-;20,90;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;00:15:00;12,00;1,50;1,00;0,50;32,90;24,60;26,20;25,90;-;21,80;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;00:30:00;12,50;1,50;1,00;0,50;32,30;24,50;26,10;25,40;-;21,70;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;00:45:00;11,50;1,75;1,00;0,50;31,80;24,10;25,80;25,30;-;22,20;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;01:00:00;11,25;1,50;1,00;0,50;31,40;23,70;25,20;24,30;-;22,90;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;01:15:00;12,75;1,50;1,00;0,50;31,00;23,20;24,80;24,30;-;23,40;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;01:30:00;11,25;1,50;0,75;0,50;30,30;22,80;24,30;23,60;-;23,70;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;01:45:00;10,25;1,50;0,75;0,50;30,20;22,30;24,00;23,20;-;23,80;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;02:00:00;11,25;1,50;1,00;0,50;30,20;22,00;23,70;22,90;-;24,00;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;02:15:00;12,00;1,50;1,00;0,50;30,10;22,00;23,60;22,60;-;24,10;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;02:30:00;14,00;1,50;1,00;0,50;29,70;21,90;23,50;22,90;-;24,50;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;02:45:00;10,00;1,50;1,00;0,50;29,60;22,00;23,40;22,50;-;24,70;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;03:00:00;11,50;1,50;1,00;0,50;29,50;22,20;23,70;22,50;-;24,70;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;03:15:00;11,00;1,50;1,00;0,50;29,30;22,30;23,60;22,40;-;25,10;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;03:30:00;11,50;1,25;1,00;0,50;28,80;22,20;23,50;22,30;-;24,50;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;03:45:00;13,25;1,50;1,00;0,50;28,70;21,90;23,30;22,10;-;23,80;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;04:00:00;11,00;1,75;1,00;0,50;28,10;21,50;22,90;21,70;-;25,20;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;04:15:00;11,50;1,50;1,00;0,50;27,40;20,90;22,30;21,00;-;27,50;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;04:30:00;12,50;1,25;1,00;0,50;26,70;20,40;21,80;20,50;-;31,30;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;04:45:00;9,50;1,50;1,00;0,50;26,30;20,00;21,40;20,10;-;34,60;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;05:00:00;10,00;1,50;1,00;0,50;26,10;19,60;21,10;19,80;-;36,40;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;05:15:00;10,75;1,50;1,00;0,50;26,10;19,40;20,80;19,40;-;36,30;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;05:30:00;12,25;1,50;1,00;0,50;26,00;19,30;20,80;19,40;-;37,10;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;05:45:00;12,25;1,50;1,00;0,50;26,00;19,00;20,40;19,00;-;37,90;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;06:00:00;12,25;1,75;0,75;0,50;26,00;18,70;20,40;19,20;-;37,50;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;06:15:00;12,25;1,50;0,75;0,50;26,00;18,70;20,30;18,90;-;37,50;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;06:30:00;12,25;1,25;0,75;0,50;26,00;18,70;20,30;19,00;-;38,00;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;06:45:00;11,75;1,75;1,00;0,50;26,00;18,60;20,30;19,00;-;37,80;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;07:00:00;12,75;2,00;1,25;0,75;26,00;18,80;20,40;19,10;-;37,80;0,00;0,00;0,00;2,00;1,00;0,00;0,00;1,00;-;-;0,00;0,00
01.07.2013;07:15:00;11,75;4,25;3,50;3,00;26,00;19,20;20,80;19,60;-;37,90;6,00;2,00;5,00;5,00;5,00;0,00;0,00;7,00;0,00;0,00;2,00;0,00
01.07.2013;07:30:00;12,50;8,25;8,75;7,75;25,90;19,90;21,30;20,10;-;37,90;15,00;15,00;12,00;16,00;12,00;9,00;14,00;16,00;0,00;0,00;16,00;28,00
01.07.2013;07:45:00;11,00;12,25;13,25;12,25;25,60;20,50;22,00;20,70;-;38,10;31,00;27,00;26,00;30,00;25,00;23,00;30,00;32,00;0,00;0,00;30,00;74,00
01.07.2013;08:00:00;11,75;18,75;20,75;20,25;25,40;21,10;22,60;21,40;-;39,30;42,00;54,00;38,00;40,00;48,00;42,00;48,00;60,00;0,00;0,00;60,00;131,00
01.07.2013;08:15:00;12,25;26,50;28,25;28,25;25,50;22,00;23,30;22,30;-;40,40;55,00;86,00;57,00;55,00;76,00;69,00;89,00;87,00;68,00;13,00;95,00;204,00
01.07.2013;08:30:00;11,50;43,50;46,00;46,75;26,00;23,60;25,10;24,30;-;39,90;99,00;159,00;131,00;131,00;135,00;131,00;177,00;147,00;147,00;80,00;176,00;334,00
01.07.2013;08:45:00;11,75;56,00;57,25;58,25;26,20;25,20;26,70;26,00;-;39,40;179,00;212,00;179,00;172,00;180,00;180,00;243,00;194,00;204,00;111,00;238,00;449,00
01.07.2013;09:00:00;12,50;69,00;69,25;70,50;26,20;26,70;28,40;27,40;-;39,90;233,00;266,00;239,00;217,00;225,00;235,00;317,00;246,00;267,00;144,00;295,00;594,00
01.07.2013;09:15:00;11,75;87,50;86,50;88,25;26,80;29,40;30,90;30,10;-;39,00;319,00;340,00;318,00;288,00;302,00;308,00;406,00;329,00;354,00;191,00;378,00;790,00
01.07.2013;09:30:00;11,00;101,25;98,00;100,50;27,00;31,30;32,80;32,10;-;38,30;392,00;394,00;370,00;355,00;350,00;362,00;470,00;406,00;417,00;224,00;435,00;933,00
01.07.2013;09:45:00;13,25;111,50;107,25;109,75;27,30;32,90;34,50;33,80;-;37,00;460,00;434,00;404,00;423,00;384,00;399,00;517,00;452,00;464,00;247,00;476,00;1046,00
