"Fecha";"G0";"Ta"
"01/04/2013 00:00:00";13;15
"01/04/2013 00:15:00";13;15.1
"01/04/2013 00:30:00";13;15.1
"01/04/2013 00:45:00";13;15
"01/04/2013 01:00:00";13;15
"01/04/2013 01:15:00";13;15
"01/04/2013 01:30:00";13;14.8
"01/04/2013 01:45:00";13;14.5
"01/04/2013 02:00:00";13;14.3
"01/04/2013 02:15:00";13;14.4
"01/04/2013 02:30:00";13;14.3
"01/04/2013 02:45:00";13;14.2
"01/04/2013 03:00:00";13;14.3
"01/04/2013 03:15:00";13;14.3
"01/04/2013 03:30:00";13;14.2
"01/04/2013 03:45:00";13;14.2
"01/04/2013 04:00:00";13;14.2
"01/04/2013 04:15:00";13;14.2
"01/04/2013 04:30:00";13;14.1
"01/04/2013 04:45:00";13;14.1
"01/04/2013 05:00:00";13;13.8
"01/04/2013 05:15:00";13;13.6
"01/04/2013 05:30:00";13;13.4
"01/04/2013 05:45:00";13;13.3
"01/04/2013 06:00:00";13;13.4
"01/04/2013 06:15:00";13;13.3
"01/04/2013 06:30:00";13;13.2
"01/04/2013 06:45:00";13;13
"01/04/2013 07:00:00";13;12.8
"01/04/2013 07:15:00";13;12.7
"01/04/2013 07:30:00";13;12.7
"01/04/2013 07:45:00";13;12.5
"01/04/2013 08:00:00";13;12.2
"01/04/2013 08:15:00";15;12.4
"01/04/2013 08:30:00";46;12.4
"01/04/2013 08:45:00";102;13
"01/04/2013 09:00:00";78;13.4
"01/04/2013 09:15:00";144;12.9
"01/04/2013 09:30:00";207;13.3
"01/04/2013 09:45:00";303;13.9
"01/04/2013 10:00:00";346;14.4
"01/04/2013 10:15:00";350;15
"01/04/2013 10:30:00";139;14.4
"01/04/2013 10:45:00";187;14.2
"01/04/2013 11:00:00";496;14.5
"01/04/2013 11:15:00";413;14.9
"01/04/2013 11:30:00";292;14.9
"01/04/2013 11:45:00";231;14.7
"01/04/2013 12:00:00";354;14.9
"01/04/2013 12:15:00";517;15
"01/04/2013 12:30:00";615;15.5
"01/04/2013 12:45:00";393;15.7
"01/04/2013 13:00:00";516;16
"01/04/2013 13:15:00";335;16.1
"01/04/2013 13:30:00";311;15.9
"01/04/2013 13:45:00";252;16.2
"01/04/2013 14:00:00";271;16.4
"01/04/2013 14:15:00";265;16.8
"01/04/2013 14:30:00";236;17
"01/04/2013 14:45:00";466;16.8
"01/04/2013 15:00:00";759;17.5
"01/04/2013 15:15:00";454.56;17.5
"01/04/2013 15:30:00";642;17.8
"01/04/2013 15:45:00";604;18.1
"01/04/2013 16:00:00";105;17.9
"01/04/2013 16:15:00";34;15.3
"01/04/2013 16:30:00";31;13
"01/04/2013 16:45:00";235;13.2
"01/04/2013 17:00:00";46;14.4
"01/04/2013 17:15:00";56;14.9
"01/04/2013 17:30:00";58;14.4
"01/04/2013 17:45:00";243;14.5
"01/04/2013 18:00:00";340;15.6
"01/04/2013 18:15:00";219;16.3
"01/04/2013 18:30:00";45;16
"01/04/2013 18:45:00";19;14.9
"01/04/2013 19:00:00";41;13.4
"01/04/2013 19:15:00";38;13.6
"01/04/2013 19:30:00";26;14
"01/04/2013 19:45:00";20;14.1
"01/04/2013 20:00:00";13;13.5
"01/04/2013 20:15:00";13;13.1
"01/04/2013 20:30:00";13;13.1
"01/04/2013 20:45:00";13;13
"01/04/2013 21:00:00";13;12.9
"01/04/2013 21:15:00";13;12.9
"01/04/2013 21:30:00";13;12.9
"01/04/2013 21:45:00";13;12.9
"01/04/2013 22:00:00";13;12.8
"01/04/2013 22:15:00";13;12.7
"01/04/2013 22:30:00";13;12.8
"01/04/2013 22:45:00";13;12.8
"01/04/2013 23:00:00";13;12.7
"01/04/2013 23:15:00";13;12.8
"01/04/2013 23:30:00";13;12.5
"01/04/2013 23:45:00";13;12.3
"02/04/2013 00:00:00";13;12.2
"02/04/2013 00:15:00";13;12.2
"02/04/2013 00:30:00";13;12.2
"02/04/2013 00:45:00";13;12.2
"02/04/2013 01:00:00";13;12.2
"02/04/2013 01:15:00";13;12.2
"02/04/2013 01:30:00";13;12.1
