"Fecha";"G0";"Ta"
"01/07/2013 00:00:00";11;33.8
"01/07/2013 00:15:00";12;32.9
"01/07/2013 00:30:00";12.5;32.3
"01/07/2013 00:45:00";11.5;31.8
"01/07/2013 01:00:00";11.25;31.4
"01/07/2013 01:15:00";12.75;31
"01/07/2013 01:30:00";11.25;30.3
"01/07/2013 01:45:00";10.25;30.2
"01/07/2013 02:00:00";11.25;30.2
"01/07/2013 02:15:00";12;30.1
"01/07/2013 02:30:00";14;29.7
"01/07/2013 02:45:00";10;29.6
"01/07/2013 03:00:00";11.5;29.5
"01/07/2013 03:15:00";11;29.3
"01/07/2013 03:30:00";11.5;28.8
"01/07/2013 03:45:00";13.25;28.7
"01/07/2013 04:00:00";11;28.1
"01/07/2013 04:15:00";11.5;27.4
"01/07/2013 04:30:00";12.5;26.7
"01/07/2013 04:45:00";9.5;26.3
"01/07/2013 05:00:00";10;26.1
"01/07/2013 05:15:00";10.75;26.1
"01/07/2013 05:30:00";12.25;26
"01/07/2013 05:45:00";12.25;26
"01/07/2013 06:00:00";12.25;26
"01/07/2013 06:15:00";12.25;26
"01/07/2013 06:30:00";12.25;26
"01/07/2013 06:45:00";11.75;26
"01/07/2013 07:00:00";12.75;26
"01/07/2013 07:15:00";11.75;26
"01/07/2013 07:30:00";12.5;25.9
"01/07/2013 07:45:00";11;25.6
"01/07/2013 08:00:00";11.75;25.4
"01/07/2013 08:15:00";12.25;25.5
"01/07/2013 08:30:00";11.5;26
"01/07/2013 08:45:00";11.75;26.2
"01/07/2013 09:00:00";12.5;26.2
"01/07/2013 09:15:00";11.75;26.8
"01/07/2013 09:30:00";11;27
"01/07/2013 09:45:00";13.25;27.3
"01/07/2013 10:00:00";13;27.8
"01/07/2013 10:15:00";12.75;28.6
"01/07/2013 10:30:00";14.25;28.4
"01/07/2013 10:45:00";11.25;28.8
"01/07/2013 11:00:00";11.5;28.7
"01/07/2013 11:15:00";11;29.1
"01/07/2013 11:30:00";12.75;29.6
"01/07/2013 11:45:00";11.25;29.8
"01/07/2013 12:00:00";12.25;29.9
"01/07/2013 12:15:00";14.25;30.8
"01/07/2013 12:30:00";14.25;31
"01/07/2013 12:45:00";12.5;31.6
"01/07/2013 13:00:00";11.25;32.3
"01/07/2013 13:15:00";13.75;32.5
"01/07/2013 13:30:00";11;33.3
"01/07/2013 13:45:00";13;33.9
"01/07/2013 14:00:00";11.25;34.2
"01/07/2013 14:15:00";12.25;34.4
"01/07/2013 14:30:00";12.75;35.2
"01/07/2013 14:45:00";12;35
"01/07/2013 15:00:00";11;35.4
"01/07/2013 15:15:00";13.5;36.3
"01/07/2013 15:30:00";13.25;36.5
"01/07/2013 15:45:00";12;36.5
"01/07/2013 16:00:00";12.25;36.9
"01/07/2013 16:15:00";14.25;37.3
"01/07/2013 16:30:00";13.25;37.5
"01/07/2013 16:45:00";13.25;37.3
"01/07/2013 17:00:00";13;37.8
"01/07/2013 17:15:00";13;37.9
"01/07/2013 17:30:00";12.25;38.1
"01/07/2013 17:45:00";12.25;38
"01/07/2013 18:00:00";12.5;37.2
"01/07/2013 18:15:00";13.75;34.7
"01/07/2013 18:30:00";11.5;34.1
"01/07/2013 18:45:00";11.5;33.8
"01/07/2013 19:00:00";12.25;32.9
"01/07/2013 19:15:00";11.5;32.7
"01/07/2013 19:30:00";12;33
"01/07/2013 19:45:00";13;32.5
"01/07/2013 20:00:00";10.5;32.4
"01/07/2013 20:15:00";11.75;32.8
"01/07/2013 20:30:00";12.5;32.4
"01/07/2013 20:45:00";11.25;32.4
"01/07/2013 21:00:00";12.5;32.8
"01/07/2013 21:15:00";11.75;33
"01/07/2013 21:30:00";11.75;33
"01/07/2013 21:45:00";13;32.7
"01/07/2013 22:00:00";13.75;31.7
"01/07/2013 22:15:00";12.5;31.1
"01/07/2013 22:30:00";12;30.9
"01/07/2013 22:45:00";12;31.2
"01/07/2013 23:00:00";12;31.6
"01/07/2013 23:15:00";12;31.5
"01/07/2013 23:30:00";12.5;31
"01/07/2013 23:45:00";11;30.7
"02/07/2013 00:00:00";12.75;29.9
"02/07/2013 00:15:00";13.5;29.4
"02/07/2013 00:30:00";12;29
"02/07/2013 00:45:00";11.5;28.8
"02/07/2013 01:00:00";12.25;28.8
"02/07/2013 01:15:00";12;28.9
"02/07/2013 01:30:00";12.75;28.6
"02/07/2013 01:45:00";11.75;28.8
"02/07/2013 02:00:00";13.25;29
"02/07/2013 02:15:00";12.5;29
"02/07/2013 02:30:00";10.75;28.8
"02/07/2013 02:45:00";10.25;28.8
"02/07/2013 03:00:00";15.5;28.4
"02/07/2013 03:15:00";13.25;28.3
"02/07/2013 03:30:00";11.5;28.1
"02/07/2013 03:45:00";12.5;27.8
"02/07/2013 04:00:00";10;28.1
"02/07/2013 08:00:00";5.55;24.2
"02/07/2013 08:15:00";15;24.6
"02/07/2013 08:30:00";11.75;25.5
"02/07/2013 08:45:00";12.25;25.1
"02/07/2013 09:00:00";12.75;25
"02/07/2013 09:15:00";11.75;25.3
"02/07/2013 09:30:00";12;25.5
"02/07/2013 09:45:00";11.75;26.1
"02/07/2013 10:00:00";12;26.9
"02/07/2013 10:15:00";11.5;27.5
"02/07/2013 10:30:00";12.25;28
"02/07/2013 10:45:00";11.25;28.3
"02/07/2013 11:00:00";12.75;28.2
"02/07/2013 11:15:00";12.5;28.9
"02/07/2013 11:30:00";11.25;29.3
"02/07/2013 11:45:00";13.25;29.6
"02/07/2013 12:00:00";12;29.5
"02/07/2013 12:15:00";10.5;29.9
"02/07/2013 12:30:00";11.5;30.3
"02/07/2013 12:45:00";13;30.9
"02/07/2013 13:00:00";12.75;31.3
"02/07/2013 13:15:00";12.25;32
"02/07/2013 13:30:00";13.5;32.1
"02/07/2013 13:45:00";10.75;32.9
"02/07/2013 14:00:00";12;33.5
"02/07/2013 14:15:00";12.75;33.8
"02/07/2013 14:30:00";12;34
"02/07/2013 14:45:00";11.25;34.4
"02/07/2013 15:00:00";13.75;34.3
"02/07/2013 15:15:00";11.5;34.1
"02/07/2013 15:30:00";12.25;34.6
"02/07/2013 15:45:00";12.5;35.4
"02/07/2013 16:00:00";12;35.5
"02/07/2013 16:15:00";12;35.6
"02/07/2013 16:30:00";12;36.4
"02/07/2013 16:45:00";12;36.3
"02/07/2013 17:00:00";12;35.9
"02/07/2013 17:15:00";12.25;35.9
"02/07/2013 17:30:00";12.25;36.3
"02/07/2013 17:45:00";12;36.7
"02/07/2013 18:00:00";11.75;37.1
"02/07/2013 18:15:00";12.75;37
"02/07/2013 18:30:00";10.75;36.8
"02/07/2013 18:45:00";11.5;36.5
"02/07/2013 19:00:00";12.5;36.8
"02/07/2013 19:15:00";12.25;37.1
"02/07/2013 19:30:00";11;37
"02/07/2013 19:45:00";13;36.8
