"Fecha";"G0";"Ta"
"01/10/2013 00:05:00";1.08;23.3
"01/10/2013 00:10:00";1.08;23.3
"01/10/2013 00:15:00";1.08;23.3
"01/10/2013 00:20:00";1.08;23.4
"01/10/2013 00:25:00";1.08;23.5
"01/10/2013 00:30:00";1.08;23.4
"01/10/2013 00:35:00";1.08;23.4
"01/10/2013 00:40:00";1.08;23.2
"01/10/2013 00:45:00";1.08;23.2
"01/10/2013 00:50:00";1.08;23.3
"01/10/2013 00:55:00";1.08;23.2
"01/10/2013 01:00:00";1.08;23.2
"01/10/2013 01:05:00";1.08;23.2
"01/10/2013 01:10:00";1.08;23
"01/10/2013 01:15:00";1.08;22.9
"01/10/2013 01:20:00";1.08;22.9
"01/10/2013 01:25:00";1.08;22.9
"01/10/2013 01:30:00";1.08;22.9
"01/10/2013 01:35:00";1.08;23
"01/10/2013 01:40:00";1.08;23
"01/10/2013 01:45:00";1.08;23.2
"01/10/2013 01:50:00";1.08;23.2
"01/10/2013 01:55:00";1.08;23.2
"01/10/2013 02:00:00";1.08;23.2
"01/10/2013 02:05:00";1.08;23.2
"01/10/2013 02:10:00";1.08;23.1
"01/10/2013 02:15:00";1.08;23.1
"01/10/2013 02:20:00";1.08;23.2
"01/10/2013 02:25:00";1.08;23.2
"01/10/2013 02:30:00";1.08;23.2
"01/10/2013 02:35:00";1.08;23.1
"01/10/2013 02:40:00";1.08;23
"01/10/2013 02:45:00";1.08;23
"01/10/2013 02:50:00";1.08;22.8
"01/10/2013 02:55:00";1.08;22.8
"01/10/2013 03:00:00";1.08;22.7
"01/10/2013 03:05:00";1.08;22.7
"01/10/2013 03:10:00";1.08;22.7
"01/10/2013 03:15:00";1.08;22.7
"01/10/2013 03:20:00";1.08;22.8
"01/10/2013 03:25:00";1.08;22.6
"01/10/2013 03:30:00";1.08;22.6
"01/10/2013 03:35:00";1.08;22.6
"01/10/2013 03:40:00";1.08;22.6
"01/10/2013 03:45:00";1.08;22.6
"01/10/2013 03:50:00";1.08;22.6
"01/10/2013 03:55:00";1.08;22.6
"01/10/2013 04:00:00";1.08;22.7
"01/10/2013 04:05:00";1.08;22.7
"01/10/2013 04:10:00";1.08;22.7
"01/10/2013 04:15:00";1.08;23
"01/10/2013 04:20:00";1.08;23
"01/10/2013 04:25:00";1.08;23.1
"01/10/2013 04:30:00";1.08;23.1
"01/10/2013 04:35:00";1.08;23.2
"01/10/2013 04:40:00";1.08;23.2
"01/10/2013 04:45:00";1.08;23.1
"01/10/2013 04:50:00";1.08;23.2
"01/10/2013 04:55:00";1.08;23.2
"01/10/2013 05:00:00";1.08;23.2
"01/10/2013 05:05:00";1.08;23.2
"01/10/2013 05:10:00";1.08;23.3
"01/10/2013 05:15:00";1.08;23.3
"01/10/2013 05:20:00";1.08;23.3
"01/10/2013 05:25:00";1.08;23.2
"01/10/2013 05:30:00";1.08;23.2
"01/10/2013 05:35:00";1.08;23.1
"01/10/2013 05:40:00";1.08;23.2
"01/10/2013 05:45:00";1.08;23.2
"01/10/2013 05:50:00";1.08;23.2
"01/10/2013 05:55:00";1.08;23.2
"01/10/2013 06:00:00";1.08;23.2
"01/10/2013 06:05:00";1.08;23.2
"01/10/2013 06:10:00";1.08;23.2
"01/10/2013 06:15:00";1.08;23.2
"01/10/2013 06:20:00";1.08;23.3
"01/10/2013 06:25:00";1.08;23.2
"01/10/2013 06:30:00";1.08;23.3
"01/10/2013 06:35:00";1.08;23.3
"01/10/2013 06:40:00";1.08;23.3
"01/10/2013 06:45:00";1.08;23.3
"01/10/2013 06:50:00";1.08;23.3
"01/10/2013 06:55:00";1.08;23.3
"01/10/2013 07:00:00";1.08;23.1
"01/10/2013 07:05:00";1.08;22.8
"01/10/2013 07:10:00";1.08;22.6
"01/10/2013 07:15:00";1.08;22.7
"01/10/2013 07:20:00";1.08;22.7
"01/10/2013 07:25:00";1.08;22.7
"01/10/2013 07:30:00";1.08;22.8
"01/10/2013 07:35:00";1.08;22.7
"01/10/2013 07:40:00";1.08;22.8
"01/10/2013 07:45:00";1.08;22.6
"01/10/2013 07:50:00";1.08;22.6
"01/10/2013 07:55:00";1.08;22.6
"01/10/2013 08:00:00";1.08;22.6
"01/10/2013 08:05:00";1.08;22.5
"01/10/2013 08:10:00";1.08;22.5
"01/10/2013 08:15:00";1.08;22.5
"01/10/2013 08:20:00";1.08;22.6
"01/10/2013 08:25:00";1.08;22.6
"01/10/2013 08:30:00";1.33;22.5
"01/10/2013 08:35:00";1.83;22.5
"01/10/2013 08:40:00";5.5;22.5
"01/10/2013 08:45:00";8.58;22.5
"01/10/2013 08:50:00";9.17;22.6
"01/10/2013 08:55:00";8.17;22.7
"01/10/2013 09:00:00";10;22.9
"01/10/2013 09:05:00";9;23.1
"01/10/2013 09:10:00";6.17;23.3
"01/10/2013 09:15:00";5.42;23.3
"01/10/2013 09:20:00";12.5;23
"01/10/2013 09:25:00";7.58;23.3
"01/10/2013 09:30:00";10;23.2
"01/10/2013 09:35:00";9.92;23.2
"01/10/2013 09:40:00";8.25;23.2
"01/10/2013 09:45:00";9.25;23.1
"01/10/2013 09:50:00";11.33;23.1
"01/10/2013 09:55:00";12.08;23.2
"01/10/2013 10:00:00";10.92;23.3
"01/10/2013 10:05:00";14.5;23.2
"01/10/2013 10:10:00";13.33;23.3
"01/10/2013 10:15:00";14.08;23.3
"01/10/2013 10:20:00";17.75;23.3
"01/10/2013 10:25:00";20.33;23.3
"01/10/2013 10:30:00";19.42;23.4
"01/10/2013 10:35:00";19.08;23.5
"01/10/2013 10:40:00";32.67;23.4
"01/10/2013 10:45:00";39.17;23.5
"01/10/2013 10:50:00";25.92;23.3
"01/10/2013 10:55:00";12.75;23.2
"01/10/2013 11:00:00";10.83;23.2
"01/10/2013 11:05:00";32.92;23.2
"01/10/2013 11:10:00";28.17;23.5
"01/10/2013 11:15:00";29.67;23.9
"01/10/2013 11:20:00";44.08;24.4
"01/10/2013 11:25:00";47.83;24.6
"01/10/2013 11:30:00";47.17;24.6
"01/10/2013 11:35:00";45.83;24.6
"01/10/2013 11:40:00";40.83;24.7
"01/10/2013 11:45:00";31.33;24.6
"01/10/2013 11:50:00";41.5;24.6
"01/10/2013 11:55:00";49.08;24.6
"01/10/2013 12:00:00";49.67;24.9
"01/10/2013 12:05:00";46.5;25.2
"01/10/2013 12:10:00";50.33;25.5
"01/10/2013 12:15:00";50.33;25.6
"01/10/2013 12:20:00";51;25.4
"01/10/2013 12:25:00";52;25.5
"01/10/2013 12:30:00";52.58;25.5
"01/10/2013 12:35:00";52.83;25.5
"01/10/2013 12:40:00";53.25;25.8
"01/10/2013 12:45:00";53.08;25.6
"01/10/2013 12:50:00";53.33;25.7
"01/10/2013 12:55:00";53.42;25.7
"01/10/2013 13:00:00";53.75;25.8
"01/10/2013 13:05:00";54.17;25.6
"01/10/2013 13:10:00";54.42;25.5
"01/10/2013 13:15:00";54.58;25.9
"01/10/2013 13:20:00";41;25.8
"01/10/2013 13:25:00";41.25;26
"01/10/2013 13:30:00";59.17;25.7
"01/10/2013 13:35:00";56.67;25.5
"01/10/2013 13:40:00";55.33;25.9
"01/10/2013 13:45:00";52.67;26
"01/10/2013 13:50:00";54.83;26.5
"01/10/2013 13:55:00";39;26.3
"01/10/2013 14:00:00";54.75;26.4
"01/10/2013 14:05:00";40.58;26.6
"01/10/2013 14:10:00";51;26.7
"01/10/2013 14:15:00";50.83;26.4
"01/10/2013 14:20:00";56.83;26.3
"01/10/2013 14:25:00";55.33;26.1
"01/10/2013 14:30:00";55.75;26.5
"01/10/2013 14:35:00";55.25;26.7
"01/10/2013 14:40:00";53.67;27
"01/10/2013 14:45:00";51.42;27.6
"01/10/2013 14:50:00";52.33;27.9
"01/10/2013 14:55:00";48.83;27.3
"01/10/2013 15:00:00";49.75;27
"01/10/2013 15:05:00";51.42;27.6
"01/10/2013 15:10:00";51;28
"01/10/2013 15:15:00";48.92;27.4
"01/10/2013 15:20:00";49.75;27.6
"01/10/2013 15:25:00";49.58;27.8
"01/10/2013 15:30:00";47.92;27.3
"01/10/2013 15:35:00";46.92;27.1
"01/10/2013 15:40:00";45.42;27.2
"01/10/2013 15:45:00";45.83;27.3
"01/10/2013 15:50:00";45.67;27.4
"01/10/2013 15:55:00";40.75;27.1
"01/10/2013 16:00:00";48.58;26.8
"01/10/2013 16:05:00";32.08;27.2
"01/10/2013 16:10:00";45.58;27.4
"01/10/2013 16:15:00";42.67;27.3
"01/10/2013 16:20:00";42.33;27.8
"01/10/2013 16:25:00";42;27.9
"01/10/2013 16:30:00";37.08;27.9
"01/10/2013 16:35:00";30;28
"01/10/2013 16:40:00";38.08;27.9
"01/10/2013 16:45:00";22.25;28.1
"01/10/2013 16:50:00";13;28
"01/10/2013 16:55:00";23.17;27.7
"01/10/2013 17:00:00";24.42;27.6
"01/10/2013 17:05:00";14.75;27.5
"01/10/2013 17:10:00";31.08;27.5
"01/10/2013 17:15:00";28.5;27.9
"01/10/2013 17:20:00";26.67;28.1
"01/10/2013 17:25:00";25.58;27.4
"01/10/2013 17:30:00";24.25;27.4
"01/10/2013 17:35:00";23.25;27.4
"01/10/2013 17:40:00";22.17;27.3
"01/10/2013 17:45:00";20.92;27.3
"01/10/2013 17:50:00";19.83;27.7
"01/10/2013 17:55:00";18.83;27.6
"01/10/2013 18:00:00";15.67;27.5
"01/10/2013 18:05:00";14.75;27.4
"01/10/2013 18:10:00";15.17;27.5
"01/10/2013 18:15:00";11;28
"01/10/2013 18:20:00";4.75;27.7
"01/10/2013 18:25:00";2.25;27.2
"01/10/2013 18:30:00";3.67;27.2
"01/10/2013 18:35:00";3.08;27.2
"01/10/2013 18:40:00";5.83;27.1
"01/10/2013 18:45:00";8.83;27.3
"01/10/2013 18:50:00";6.17;27.4
"01/10/2013 18:55:00";2.92;27.4
"01/10/2013 19:00:00";1.83;26.8
"01/10/2013 19:05:00";1.75;26.7
"01/10/2013 19:10:00";1.58;26.7
"01/10/2013 19:15:00";1.58;26.6
"01/10/2013 19:20:00";1.58;26.5
"01/10/2013 19:25:00";1.58;26.1
"01/10/2013 19:30:00";1.42;26.1
"01/10/2013 19:35:00";1.25;26
"01/10/2013 19:40:00";1.17;26
"01/10/2013 19:45:00";1.17;26
"01/10/2013 19:50:00";1.08;25.9
"01/10/2013 19:55:00";1.08;25.9
"01/10/2013 20:00:00";1.08;25.9
"01/10/2013 20:05:00";1.08;25.9
"01/10/2013 20:10:00";1.08;25.8
"01/10/2013 20:15:00";1.08;25.9
"01/10/2013 20:20:00";1.08;25.7
"01/10/2013 20:25:00";1.08;25.4
"01/10/2013 20:30:00";1.08;25.3
"01/10/2013 20:35:00";1.08;25.3
"01/10/2013 20:40:00";1.08;25.2
"01/10/2013 20:45:00";1.08;25.2
"01/10/2013 20:50:00";1.08;25.2
"01/10/2013 20:55:00";1.08;25
"01/10/2013 21:00:00";1.08;25.1
"01/10/2013 21:05:00";1.08;25.1
"01/10/2013 21:10:00";1.08;25
"01/10/2013 21:15:00";1.08;25.1
"01/10/2013 21:20:00";1.08;24.8
"01/10/2013 21:25:00";1.08;24.7
"01/10/2013 21:30:00";1.08;24.8
"01/10/2013 21:35:00";1.08;24.9
"01/10/2013 21:40:00";1.08;25
"01/10/2013 21:45:00";1.08;25
"01/10/2013 21:50:00";1.08;24.8
"01/10/2013 21:55:00";1.08;24.7
"01/10/2013 22:00:00";1.08;24.7
"01/10/2013 22:05:00";1.08;24.7
"01/10/2013 22:10:00";1.08;24.6
"01/10/2013 22:15:00";1.08;24.7
"01/10/2013 22:20:00";1.08;24.6
"01/10/2013 22:25:00";1.08;24.6
"01/10/2013 22:30:00";1.08;24.7
"01/10/2013 22:35:00";1.08;24.6
"01/10/2013 22:40:00";1.08;24.6
"01/10/2013 22:45:00";1.08;24.6
"01/10/2013 22:50:00";1.08;24.4
"01/10/2013 22:55:00";1.08;24.4
"01/10/2013 23:00:00";1.08;24.6
"01/10/2013 23:05:00";1.08;24.5
"01/10/2013 23:10:00";1.08;24.4
