"Dates";"G0";"Ta"
2013-01-01 00:10:00;0;3.26
2013-01-01 01:10:00;0;3.05
2013-01-01 02:10:00;0;3.1
2013-01-01 03:10:00;0;3.25
2013-01-01 04:10:00;0;3.29
2013-01-01 05:10:00;0;3.55
2013-01-01 06:10:00;0;3.54
2013-01-01 07:10:00;0;3.57
2013-01-01 08:10:00;35.22;3.64
2013-01-01 09:10:00;131;4.43
2013-01-01 10:10:00;172;5.94
2013-01-01 11:10:00;230;7.36
2013-01-01 12:10:00;399.01;8.5
2013-01-01 13:10:00;445.01;9.5
2013-01-01 14:10:00;374.01;10.02
2013-01-01 15:10:00;243.01;10.19
2013-01-01 16:10:00;88.01;9.86
2013-01-01 17:10:00;0;8.54
2013-01-01 18:10:00;0;6.98
2013-01-01 19:10:00;0;6.01
2013-01-01 20:10:00;0;4.68
2013-01-01 21:10:00;0;3.38
2013-01-01 22:10:00;0;2.53
2013-01-01 23:10:00;0;1.98
2013-01-02 00:10:00;0;1.86
2013-01-02 01:10:00;0;1.56
2013-01-02 02:10:00;0;1.55
2013-01-02 03:10:00;0;1.59
2013-01-02 04:10:00;0;1.88
2013-01-02 05:10:00;0;1.8
2013-01-02 06:10:00;0;1.7
2013-01-02 07:10:00;0;1.35
2013-01-02 08:10:00;37.46;0.95
2013-01-02 09:10:00;191.01;2.07
2013-01-02 10:10:00;337.01;5.47
2013-01-02 11:10:00;443.01;7.58
2013-01-02 12:10:00;483.02;8.84
2013-01-02 13:10:00;408.01;9.36
2013-01-02 14:10:00;360.01;9.57
2013-01-02 15:10:00;236.01;9.69
2013-01-02 16:10:00;83;9.13
2013-01-02 17:10:00;0;8
2013-01-02 18:10:00;0;7.06
2013-01-02 19:10:00;0;6.73
2013-01-02 20:10:00;0;6.09
2013-01-02 21:10:00;0;5.57
2013-01-02 22:10:00;0;4.97
2013-01-02 23:10:00;0;4.62
2013-01-03 00:10:00;0;4.21
2013-01-03 01:10:00;0;3.4
2013-01-03 02:10:00;0;2.54
2013-01-03 03:10:00;0;1.84
2013-01-03 04:10:00;0;1.2
2013-01-03 05:10:00;0;0.64
2013-01-03 06:10:00;0;0.28
2013-01-03 07:10:00;0;0.23
2013-01-03 08:10:00;44.39;0.15
2013-01-03 09:10:00;203.01;1.99
2013-01-03 10:10:00;334.01;5.97
2013-01-03 11:10:00;426.01;7.69
2013-01-03 12:10:00;465.01;8.9
2013-01-03 13:10:00;439.01;9.75
2013-01-03 14:10:00;356.01;10.23
2013-01-03 15:10:00;242.01;10.29
2013-01-03 16:10:00;92.01;9.89
2013-01-03 17:10:00;0;9.35
2013-01-03 18:10:00;0;8.47
2013-01-03 19:10:00;0;6.52
2013-01-03 20:10:00;0;4.31
2013-01-03 21:10:00;0;2.8
2013-01-03 22:10:00;0;1.59
2013-01-03 23:10:00;0;0.81
2013-01-04 00:10:00;0;0.31
2013-01-04 01:10:00;0;0.15
2013-01-04 02:10:00;0;-0.09
2013-01-04 03:10:00;0;-0.2
2013-01-04 04:10:00;0;-0.23
2013-01-04 05:10:00;0;-0.18
2013-01-04 06:10:00;0;-0.11
2013-01-04 07:10:00;0;-0.77
2013-01-04 08:10:00;44.39;-0.86
2013-01-04 09:10:00;206.01;1.15
2013-01-04 10:10:00;336.01;4.43
2013-01-04 11:10:00;432.01;6.84
2013-01-04 12:10:00;469.01;8.57
2013-01-04 13:10:00;446.01;9.88
2013-01-04 14:10:00;365.01;10.66
2013-01-04 15:10:00;247.01;10.89
2013-01-04 16:10:00;95.01;10.24
2013-01-04 17:10:00;0;8.59
2013-01-04 18:10:00;0;6.49
2013-01-04 19:10:00;0;5.29
2013-01-04 20:10:00;0;6.28
2013-01-04 21:10:00;0;5.52
2013-01-04 22:10:00;0;4.77
2013-01-04 23:10:00;0;4.2
2013-01-05 00:10:00;0;3.57
2013-01-05 01:10:00;0;2.47
2013-01-05 02:10:00;0;1.47
2013-01-05 03:10:00;0;1.02
2013-01-05 04:10:00;0;1.12
2013-01-05 05:10:00;0;1.4
2013-01-05 06:10:00;0;1.55
2013-01-05 07:10:00;0;0.93
2013-01-05 08:10:00;44.41;0.03
2013-01-05 09:10:00;206.01;1.44
2013-01-05 10:10:00;339.01;4.65
2013-01-05 11:10:00;431.01;7.18
